Sl. No,Name of Incident,Date,Month,Year,Country,Type of Event,Place Name,Impact,Affected Population,Important Person/Group Responsible,Outcome,wiki_description
16,Swadeshi Movement,7,August,1905,India,National Movement,Bengal,Promoted Indian goods; protest against British economic policies,Indian nationalists,Indian National Congress,Positive,"The Swadeshi movement was a self-sufficiency movement that was part of the Indian independence movement and contributed to the development of Indian nationalism. Before the BML Government's decision for the partition of Bengal was made public in December 1903, there was a lot of growing discontentment among the Indians. In response the Swadeshi movement was formally started from Town Hall at Calcutta on 7 August 1905 to curb foreign goods by relying on domestic production."
17,Green Revolution,-,-,1960,India,Agricultural Revolution,"Punjab, Haryana",Dramatically increased agricultural production,Indian farmers,"M.S. Swaminathan, Norman Borlaug",Positive,"The Green Revolution, or the Third Agricultural Revolution, was a period of technology transfer initiatives that saw greatly increased crop yields. These changes in agriculture began in developed countries in the early 20th century and spread globally until the late 1980s. In the late 1960s, farmers began incorporating new technologies such as high-yielding varieties of cereals, particularly dwarf wheat and rice, and the widespread use of chemical fertilizers, pesticides, and controlled irrigation."
18,Operation Blue Star,1,June,1984,India,Military Operation,Amritsar,Removal of armed militants from Golden Temple but led to controversy,Sikh community,"Indian Government, Sikh militants",Negative,"Operation Blue Star was a military operation by the Indian Armed Forces conducted between 1 and 10 June 1984 to remove Jarnail Singh Bhindranwale and other Sikh militants from the Golden Temple, a holy site of Sikhism, and its adjacent buildings."
19,Kargil War,-,May,1999,India,Military Conflict,"Kargil, Ladakh",India regained control of Kargil; heightened patriotism,Indian Armed Forces,"Indian Government, Pakistani Military",Positive,"The Kargil War, also known as the Kargil Conflict, was fought between India and Pakistan from May to July 1999 in the Kargil district of Ladakh and elsewhere along the Line of Control (LoC). In India, the conflict is also referred to as Operation Vijay, which was the codename of the Indian military operation in the region. The Indian Air Force acted jointly with the Indian Army to flush out the Pakistan Army and paramilitary troops from vacated Indian positions along the LoC, in what was designated as Operation Safed Sagar."
20,Right to Information Act Enacted,15,June,2005,India,Legislation,India,Empowered citizens to seek information from public authorities,Indian citizens,Government of India,Positive,
21,Nirbhaya Case,16,December,2012,India,Criminal Incident,New Delhi,Brought attention to women's safety and led to legal reforms,Indian women,"Indian society, Government of India",Positive,
22,Launch of 5G Services,-,October,2022,India,Technology,India,Introduction of 5G technology expected to revolutionize connectivity,"Indian consumers, businesses","Telecom companies, Government of India",Positive,
23,Ram Mandir Bhoomi Pujan,5,August,2020,India,Cultural/Religious,Ayodhya,Beginning of the construction of Ram Temple at disputed site,Hindu community,"Government of India, Hindu activists",Positive,
24,India's First Hyperloop Project Announcement,-,February,2018,India,Infrastructure,Maharashtra,Proposal for high-speed transportation system,Potential commuters,"Virgin Hyperloop One, State Government",Positive,
25,Indian Independence,15,August,1947,India,Political,India,End of British rule and birth of independent India,All citizens of India,"Indian National Congress, Muslim League",Positive,"Indian independence may refer to:Indian independence movement, movement to end British rule in India
List of Indian independence activists
Revolutionary movement for Indian independence, violent factions of the Indian independence movement
Indian independence movement in Tamil Nadu, the movement in the present-day Tamil Nadu state of India
Indian Independence League, an Indian nationalist political organisation in Japanese occupied Southeast Asia
Indian Independence Committee or Berlin Committee, Indian independence organization and conspiracy circle in Germany during World War I 
Indian Independence Act 1947, an act of the Parliament of the United Kingdom that granted de facto independence to India and Pakistan
Partition of India, the split of British India into modern India and Pakistan
Independence Day (India), India's national day and public holiday on August 15 marking independence from the British Empire
Indian Independence Day parade
Indian Independence Day parade in New York City
Indian Independence Medal, an Indian military award
Native American self-determination, including independence movements among American Indians."
26,First General Elections,-,October,1951,India,Political,India,Establishment of democratic governance,Indian electorate,Government of India,Positive,
27,Sino-Indian War,20,October,1962,India,Military Conflict,Border regions of India,Highlighted the border disputes and led to military and strategic changes,Border communities,"India, China",Negative,"The Sino–Indian War, also known as the China–India War or the Indo–China War, was an armed conflict between China and India that took place from October to November 1962. It was a military escalation of the Sino–Indian border dispute. Fighting occurred along India's border with China, in India's North-East Frontier Agency east of Bhutan, and in Aksai Chin west of Nepal."
28,First Nuclear Test (Smiling Buddha),18,May,1974,India,Nuclear Test,"Pokhran, Rajasthan","India joins the nuclear club, changing its strategic position globally",International community,Government of India,Mixed,
29,Emergency Declared by Indira Gandhi,25,June,1975,India,Political,India,Period of political unrest and curtailment of civil liberties,Indian citizens,"Indira Gandhi, Government of India",Negative,
30,Bhopal Gas Tragedy,3,December,1984,India,Industrial Disaster,"Bhopal, Madhya Pradesh",World's worst industrial disaster,Residents of Bhopal,Union Carbide Corporation,Negative,"On 3 December 1984, over 500,000 people in the vicinity of the Union Carbide India Limited pesticide plant in Bhopal, Madhya Pradesh, India were exposed to the highly toxic gas methyl isocyanate, in what is considered the world's worst industrial disaster. A government affidavit in 2006 stated that the leak caused 558,125 injuries, including 38,478 temporary partial injuries and approximately 3,900 severely and permanently disabling injuries. Estimates vary on the death toll, with the official number of immediate deaths being 2,259."
31,Economic Reforms and Liberalization,-,July,1991,India,Economic Policy,India,Opening of the Indian economy to global markets and investors,"Indian businesses, workers","Manmohan Singh, P.V. Narasimha Rao",Positive,
32,Kandahar Hijacking (IC 814),24,December,1999,India,Terrorism,"Kandahar, Afghanistan",Highlighted issues in aviation security and terrorism,"Passengers, crew","Hijackers, Indian Government",Negative,
33,2001 Indian Parliament Attack,13,December,2001,India,Terrorism,New Delhi,Led to increased tensions between India and Pakistan,Indian political system,"Terrorist groups, Government of India",Negative,
34,Right to Education Act,4,August,2009,India,Legislation,India,Ensured free and compulsory education for children,Children aged 6 to 14,Government of India,Positive,"The Right of Children to Free and Compulsory Education Act or Right to Education Act (RTE) is an Act of the Parliament of India, enacted on 4 August 2009, implemented the right to free and compulsory education for children from 6 to 14 years in India under Article 21A of the Indian Constitution. India became one of 135 countries to make education a fundamental right of every child when the act came into force on 1 April 2010."
35,Article 370 Revocation for Jammu & Kashmir,5,August,2019,India,Political,Jammu & Kashmir,Changed the special status and autonomy of J&K,Residents of J&K,Government of India,Mixed,
36,Supreme Court Verdict on Ayodhya,9,November,2019,India,Judiciary,Ayodhya,Paved the way for the construction of a Ram Temple,Hindu and Muslim communities,Supreme Court of India,Mixed,
37,Opening of Bandra-Worli Sea Link,30,June,2009,India,Infrastructure,Mumbai,Improved connectivity and reduced travel time in Mumbai,Commuters in Mumbai,Government of Maharashtra,Positive,
38,Statue of Unity Unveiled,31,October,2018,India,Cultural/Political,Gujarat,"Became the world's tallest statue, symbolizing unity",Indian citizens,Government of India,Positive,
39,Triple Talaq Bill Passed,30,July,2019,India,Legislation,India,Made instant triple talaq a criminal offence,Muslim women,Parliament of India,Positive,
40,India's First Transgender University,-,January,2020,India,Education,Uttar Pradesh,Empowered the transgender community through education,Transgender community,Dr. Akhilesh Das Gupta Foundation,Positive,
41,Nationwide Lockdown due to COVID-19,24,March,2020,India,Public Health,India,Aimed to prevent the spread of COVID-19; significant economic impact,Entire population,Government of India,Negative,
42,Historic Win in Cricket World Cup 1983,25,June,1983,India,Sports,"Lord's, England","Marked India's first Cricket World Cup win, boosting the sport's popularity",Indian sports fans,Indian cricket team,Positive,
43,2013 Uttarakhand Floods,-,June,2013,India,Natural Disaster,Uttarakhand,Severe floods causing massive destruction and loss of life,"Residents, pilgrims","State Government, National Disaster Response Force",Negative,
44,Indian Mars Orbiter Mission Success,24,September,2014,India,Space Exploration,Mars,"Made India the first Asian nation to reach Mars orbit, and at first attempt",Indian scientific community,ISRO,Positive,
45,India Wins ICC T20 World Cup 2007,24,September,2007,India,Sports,South Africa,Boosted the popularity of T20 cricket in India and worldwide,Indian sports fans,Indian cricket team,Positive,
46,India's Demonetisation Campaign,8,November,2016,India,Economic Policy,Nationwide,"Aimed to curb illegal cash holdings, and promote digital transactions",Entire population,"Government of India, Prime Minister Narendra Modi",Mixed,
47,Introduction of UPI (Unified Payment Interface),-,April,2016,India,Financial Technology,Nationwide,"Revolutionized digital payments in India, making transactions simple and fast","Indian consumers, businesses",National Payments Corporation of India (NPCI),Positive,
48,Jio Telecom Launch,5,September,2016,India,Telecommunications,Nationwide,Dramatically increased internet accessibility and usage in India,Indian population,Reliance Industries,Positive,
49,Abolition of Instant Triple Talaq,30,July,2019,India,Legal,Nationwide,Protected Muslim women's rights by making instant triple talaq illegal,Muslim women,Parliament of India,Positive,
50,Asiatic Lion Census Showing Population Increase,-,May,2020,India,Wildlife Conservation,Gujarat,"Indicated successful conservation efforts, with an increase in the Asiatic lion population",Asiatic lions,"Wildlife Conservationists, Government of Gujarat",Positive,
51,Decriminalisation of Section 377,6,September,2018,India,Legal,Nationwide,"Landmark judgement for LGBTQ+ rights in India, decriminalizing homosexuality",LGBTQ+ community,Supreme Court of India,Positive,
52,Launch of Chandrayaan-1,22,October,2008,India,Space Exploration,Moon,"India's first lunar mission, contributing significant findings like water molecules on Moon",Scientific community,Indian Space Research Organisation (ISRO),Positive,
53,Start of Swachh Bharat Mission,2,October,2014,India,Environmental/Social,Nationwide,"Aimed at cleaning up the streets, roads and infrastructure of cities, towns, and rural areas",Indian population,"Government of India, Prime Minister Narendra Modi",Positive,
54,Pulwama Terrorist Attack,14,February,2019,India,Terrorism,"Pulwama, Jammu and Kashmir",Led to a significant military and diplomatic standoff between India and Pakistan,Indian security forces,Jaish-e-Mohammed,Negative,
55,Historic Solar Alliance Initiative,30,November,2015,India,International Cooperation,"Paris, France",India co-launched the International Solar Alliance to promote solar energy globally,Global community,"Government of India, France",Positive,
56,GST (Goods and Services Tax) Implementation,1,July,2017,India,Economic Reform,Nationwide,"Unified the country's tax system, replacing multiple indirect taxes with a single tax","Businesses, consumers",Government of India,Positive,
57,Citizenship Amendment Act (CAA) Implementation,12,December,2019,India,Legislation,Nationwide,Led to widespread protests due to concerns over citizenship criteria based on religion,Indian citizens,Government of India,Mixed,
58,2016 Uri Attack and Subsequent Surgical Strikes,18,September,2016,India,Military,"Uri, Jammu and Kashmir",Led to cross-border surgical strikes by India against militant launch pads in Pakistan,Military forces,Indian Army,Mixed,
59,Formation of Indian National Congress,28,December,1885,India,Political Formation,Bombay,Aimed to obtain a greater share in government for educated Indians.,Indian political leaders,"Allan Octavian Hume, Indian leaders",Positive,
60,Partition of Bengal,16,October,1905,India,Administrative,Bengal,Led to widespread nationalistic protests and was eventually reversed in 1911.,People of Bengal,Lord Curzon,Negative,"Partition of Bengal may refer to the partition of the Bengal region on two occasions:Partition of Bengal (1905), a reorganization within India
Partition of Bengal (1947), a consequence of the Partition of India

."
61,Jallianwala Bagh Massacre,13,April,1919,India,Massacre,Amritsar,Galvanized the Indian population against British rule.,People of Amritsar,General Dyer,Negative,"The Jallianwala Bagh massacre, also known as the Amritsar massacre, took place on 13 April 1919. A large crowd had gathered at the Jallianwala Bagh in Amritsar, Punjab, British India, during the annual Baisakhi fair to protest against the Rowlatt Act and the arrest of pro-Indian independence activists Saifuddin Kitchlew and Satyapal. In response to the public gathering, the temporary brigadier general R."
62,Non-Cooperation Movement,1,August,1920,India,Civil Disobedience Movement,Nationwide,"Non-violent resistance against British rule, emphasizing swaraj and swadeshi.",Indian civilians,Mahatma Gandhi,Positive,"The non-cooperation movement was a political campaign launched on 4 September 1920 by Mahatma Gandhi to have Indians revoke their cooperation from the British government, with the aim of persuading them to grant self-governance."
63,Chauri Chaura Incident,4,February,1922,India,Violent Protest,Chauri Chaura,Led to Gandhi halting the Non-Cooperation Movement due to violence.,Protesters,Indian protesters,Negative,
64,Dandi March,12,March,1930,India,Civil Disobedience,Dandi,"Protest against the salt tax and British monopoly, pivotal in the independence movement.","Mahatma Gandhi, followers",Mahatma Gandhi,Positive,"The Salt march, also known as the Salt Satyagraha, Dandi March, and the Dandi Satyagraha, was an act of nonviolent civil disobedience in colonial India, led by Mahatma Gandhi. The 24-day march lasted from 12 March 1930 to 6 April 1930 as a direct action campaign of tax resistance and nonviolent protest against the British salt monopoly. Another reason for this march was that the Civil Disobedience Movement needed a strong inauguration that would inspire more people to follow Gandhi's example."
65,First Round Table Conference,-,November,1930,UK,Conference,London,Aimed at discussing constitutional reforms; boycotted by the Congress.,"Indian princely states, British officials",British government,Mixed,"The three Round Table Conferences of 1930–1932 were a series of peace conferences, organized by the British Government and Indian political personalities to discuss constitutional reforms in India. These started in November 1930 and ended in December 1932. They were conducted as per the recommendation of Muhammad Ali Jinnah to Viceroy Lord Irwin and Prime Minister Ramsay MacDonald, and by the report submitted by the Simon Commission in May 1930."
66,Purna Swaraj Declaration,26,January,1930,India,Political Declaration,Lahore,The declaration of complete independence from British rule by the Congress.,Indian National Congress,Indian National Congress,Positive,
67,Quit India Movement,8,August,1942,India,Mass Protest,Bombay,Called for an orderly British withdrawal from India.,"Indian National Congress, Indian civilians","Mahatma Gandhi, Indian National Congress",Positive,"The Quit India Movement was a movement launched at the Bombay session of the All India Congress Committee by Mahatma Gandhi on 8 August 1942, during World War II, demanding an end to British rule in India."
68,Cripps Mission,-,March,1942,India,Negotiation,New Delhi,Proposed Indian dominion status after WWII; rejected by Indian leaders.,Indian leaders,Sir Stafford Cripps,Negative,"The Cripps Mission was a failed attempt in late March 1942 by the British government to secure full Indian cooperation and support for their efforts in World War II. The mission was headed by a senior minister Stafford Cripps. Cripps belonged to the left-wing Labour Party, which was traditionally sympathetic to Indian self-rule, but he was also a member of the coalition War Cabinet led by British Prime Minister Winston Churchill, who had long been the leader of the movement to block Indian independence."
69,Bengal Famine of 1943,-,-,1943,India,Famine,Bengal,Led to widespread criticism of British war policies and their impact on Indian civilians.,People of Bengal,British administration,Negative,"The Bengal famine of 1943 was a famine in the Bengal province of British India during World War II. An estimated 800,000–3.8 million people died, in the Bengal region, from starvation, malaria and other diseases aggravated by malnutrition, population displacement, unsanitary conditions, poor British wartime policies and lack of health care. Millions were impoverished as the crisis overwhelmed large segments of the economy and catastrophically disrupted the social fabric."
70,Partition Plan Announced,3,June,1947,India,Political Decision,New Delhi,Announced the creation of India and Pakistan as separate nations.,People of India and Pakistan,Lord Mountbatten,Negative,
71,Integration of Princely States,-,-,1947,India,Political Integration,Various,Unified India by integrating princely states into the Indian Union.,"Princely states, Indian Union",Sardar Vallabhbhai Patel,Positive,
72,Constitution of India Adopted,26,January,1950,India,Constitutional Adoption,New Delhi,"India became a sovereign, socialist, secular, democratic republic.",Indian citizens,Constituent Assembly of India,Positive,
79,Reserve Bank of India (RBI),1,April,1935,India,Central Banking Institution,Calcutta (now Kolkata),"Regulates the issue of banknotes, maintains reserves to secure monetary stability, and operates the currency and credit system of the country.","Indian economy, global investors",British Government (pre-independence),Positive,
80,Indian Space Research Organisation (ISRO),15,August,1969,India,Space Agency,Bangalore,"Leads India's space exploration and satellite deployment, contributing to national development and global space science.","Global scientific community, Indian population",Government of India,Positive,"The Indian Space Research Organisation is India's national space agency, headquartered in Bengaluru, Karnataka. It serves as the principal research and development arm of the Department of Space (DoS), overseen by the Prime Minister of India, with the Chairman of ISRO also serving as the chief executive of the DoS. It is primarily responsible for space-based operations, space exploration, international space cooperation and the development of related technologies."
81,Bharatiya Janata Party (BJP),6,April,1980,India,Political Party,New Delhi,"Major political party in India, influencing the country's political landscape and governance policies.",Indian citizens,"Atal Bihari Vajpayee, L.K. Advani",Positive,"The Bharatiya Janata Party is a political party in India and one of the two major Indian political parties alongside the Indian National Congress. BJP emerged out from Syama Prasad Mukherjee's Bharatiya Jana Sangh. Since 2014, it has been the ruling political party in India under the incumbent Prime Minister Narendra Modi."
82,Securities and Exchange Board of India (SEBI),12,April,1988,India,Regulatory Body,Mumbai,"Regulates the securities market in India, protecting investors and promoting the development of the securities market.","Investors, financial market participants",Government of India,Positive,
83,Taj Mahal,-,-,1653,India,Mausoleum,Agra,"A UNESCO World Heritage Site, symbolizing love, and an architectural marvel of the Mughal era.","Global tourists, historians",Emperor Shah Jahan,Positive,"The Taj Mahal is an ivory-white marble mausoleum on the right bank of the river Yamuna in Agra, Uttar Pradesh, India. It was commissioned in 1631 by the fifth Mughal emperor, Shah Jahan to house the tomb of his beloved wife, Mumtaz Mahal; it also houses the tomb of Shah Jahan himself. The tomb is the centrepiece of a 17-hectare (42-acre) complex, which includes a mosque and a guest house, and is set in formal gardens bounded on three sides by a crenellated wall."
84,Golden Temple (Harmandir Sahib),-,-,1585,India,Religious Shrine,Amritsar,"The spiritual and cultural center for the Sikh religion, known for its gold-plated facade.","Sikhs, global pilgrims",Guru Arjan,Positive,
85,Creation of Pakistan,14,August,1947,Pakistan,Country Formation,Pakistan,Establishment of Pakistan as a separate nation for Muslims of the Indian subcontinent.,Muslims in Indian subcontinent,Muhammad Ali Jinnah,Positive,"The Pakistan Movement emerged in the early 20th century as part of a campaign that advocated the creation of an Islamic state in parts of what was then British Raj. It was rooted in the two-nation theory, which asserted that Muslims from the subcontinent were fundamentally and irreconcilably distinct from Hindus of the subcontinent and would therefore require separate self-determination upon the Decolonisation of the subcontinent. The idea was largely realized when the All-India Muslim League ratified the Lahore Resolution on 23 March 1940, calling for the Muslim-majority regions of the Indian subcontinent to be ""grouped to constitute independent states"" that would be ""autonomous and sovereign"" with the aim of securing Muslim socio-political interests vis-à-vis the Hindu majority."
86,First Indo-Pak War,22,October,1947,Pakistan,Military Conflict,Kashmir,Conflict over the princely state of Kashmir leading to ongoing disputes.,Residents of Kashmir,India and Pakistan,Negative,"The Indo-Pakistani war of 1947–1948, also known as the first Kashmir war, was a war fought between India and Pakistan over the princely state of Jammu and Kashmir from 1947 to 1948. It was the first of four Indo-Pakistani wars between the two newly independent nations. Pakistan precipitated the war a few weeks after its independence by launching tribal lashkar (militias) from Waziristan, in an effort to capture Kashmir and to preempt the possibility of its ruler joining India."
87,Pakistan Joins the United Nations,30,September,1947,Pakistan,International Relations,New York,"Pakistan becomes a member of the UN, starting its journey in international diplomacy.",Global community,Government of Pakistan,Positive,
88,First Constitution of Pakistan,23,March,1956,Pakistan,Constitutional,Pakistan,"Pakistan becomes an Islamic republic, adopting its first constitution.",Pakistani citizens,Constituent Assembly of Pakistan,Positive,
89,East Pakistan demands autonomy,7,March,1971,Pakistan,Political Movement,Dhaka,Sheikh Mujibur Rahman's historic speech demanding autonomy for East Pakistan.,People of East Pakistan,Sheikh Mujibur Rahman,Mixed,
90,Independence of Bangladesh,16,December,1971,Pakistan,Country Formation,East Pakistan,"Resulted in the secession of East Pakistan, becoming Bangladesh.",People of Bangladesh,"Indian Armed Forces, Mukti Bahini",Mixed,"The independence of Bangladesh was declared from Pakistan on 26 March 1971, which is now celebrated as Independence Day. The Bangladesh Liberation War started on 26 March and lasted till 16 December 1971 which is celebrated as Victory Day in Bangladesh. In the early hours of March 26, 1971, Sheikh Mujibur Rahman declared independence before being arrested by the Pakistani army, which was later broadcast by Maj."
91,Pakistan's Nuclear Tests (Chagai-I),28,May,1998,Pakistan,Nuclear Test,"Chagai, Balochistan","Pakistan becomes a nuclear power, conducting its first successful nuclear tests.",International community,Government of Pakistan,Mixed,
92,Kargil Conflict,-,-,1999,Pakistan,Military Conflict,"Kargil, Kashmir",A military conflict between India and Pakistan in the Kargil district of Kashmir.,Citizens of India and Pakistan,India and Pakistan,Negative,"The Kargil War, also known as the Kargil Conflict, was fought between India and Pakistan from May to July 1999 in the Kargil district of Ladakh and elsewhere along the Line of Control (LoC). In India, the conflict is also referred to as Operation Vijay, which was the codename of the Indian military operation in the region. The Indian Air Force acted jointly with the Indian Army to flush out the Pakistan Army and paramilitary troops from vacated Indian positions along the LoC, in what was designated as Operation Safed Sagar."
93,2005 Kashmir Earthquake,8,October,2005,Pakistan,Natural Disaster,"Kashmir, Pakistan","A devastating earthquake affecting Kashmir region, causing widespread damage and casualties.",Residents of Kashmir,"Government of Pakistan, International Aid",Negative,"An earthquake occurred at 08:50:39 Pakistan Standard Time on 8 October 2005 in Azad Jammu and Kashmir, a territory under Pakistan. Its epicenter was 19 km northeast of the city of Muzaffarabad, and 90 km north north-east of Islamabad, the capital city of Pakistan, and also affected nearby Balakot in Khyber Pakhtunkhwa and some areas of Jammu and Kashmir, India. It registered a moment magnitude of 7.6 on the Richter scale and had a maximum Mercalli intensity of XI (Extreme)."
94,Assassination of Benazir Bhutto,27,December,2007,Pakistan,Political,Rawalpindi,The assassination of the former Prime Minister of Pakistan and a major political figure.,Pakistani citizens,- assailants,Negative,"The assassination of Benazir Bhutto took place on 27 December 2007 in Rawalpindi, Pakistan. Benazir Bhutto, the former Prime Minister of Pakistan and then-leader of the opposition party Pakistan People's Party, had been campaigning ahead of elections scheduled for January 2008. Shots were fired at her after a political rally at Liaqat National Bagh, and a suicide bomb was detonated immediately following the shooting."
95,Operation Zarb-e-Azb,15,June,2014,Pakistan,Military Operation,North Waziristan,A military operation against insurgent groups in North Waziristan part of the War on Terror.,Residents of North Waziristan,Pakistan Armed Forces,Positive,"Operation Zarb-e-Azb was a joint military offensive conducted by the Pakistan Armed Forces against various militant groups, including the Tehrik-i-Taliban Pakistan (TTP), the Islamic Movement of Uzbekistan, the East Turkestan Islamic Movement and Lashkar-e-Islam. The operation was launched on 15 June 2014 in North Waziristan along the Pakistan-Afghanistan border as a renewed effort against militancy in the wake of the 8 June attack on Jinnah International Airport in Karachi, for which the TTP and the IMU claimed responsibility. As of 14 July 2014, the operation internally displaced about 929,859 people belonging to 80,302 families from North Waziristan."
96,2014 Peshawar School Massacre,16,December,2014,Pakistan,Terrorism,Peshawar,"A terrorist attack on the Army Public School, resulting in massive casualties, mostly children.","Students, teachers, families",Tehrik-i-Taliban Pakistan,Negative,
97,China-Pakistan Economic Corridor (CPEC) Agreement,20,April,2015,Pakistan,Economic/Infrastructure,Pakistan,A collection of infrastructure projects that are under construction throughout Pakistan.,Pakistani citizens,"Government of Pakistan, China",Positive,
98,Panama Papers Case & Disqualification of PM Nawaz Sharif,28,July,2017,Pakistan,Political Corruption,Islamabad,Led to the disqualification of Prime Minister Nawaz Sharif from holding public office.,Pakistani citizens,Supreme Court of Pakistan,Mixed,
99,Kartarpur Corridor Opening,9,November,2019,Pakistan,Diplomatic/Religious,Kartarpur,"A border corridor between Pakistan and India, allowing Sikh pilgrims visa-free access to a holy site.",Sikh community,Governments of Pakistan and India,Positive,
100,FATF Grey List,-,-,2018,Pakistan,International Finance,"Paris, France",Pakistan placed on the 'grey list' by the Financial Action Task Force for terror financing and money laundering risks.,Pakistani economy,Financial Action Task Force (FATF),Negative,
101,Imran Khan Elected as Prime Minister,18,August,2018,Pakistan,Political,Islamabad,"Marks the first time a former cricketer transitioned to the Prime Minister, promising reform.",Pakistani citizens,Pakistan Tehreek-e-Insaf (PTI),Positive,
102,Abolition of FATA,31,May,2018,Pakistan,Administrative,Federally Administered Tribal Areas,"Integrated the tribal regions into the Khyber Pakhtunkhwa province, aiming to mainstream the governance.",Residents of FATA,Government of Pakistan,Positive,
103,2019 Pulwama Attack and India-Pakistan Standoff,14,February,2019,Pakistan,Military/Political,"Pulwama, India","Led to heightened military tensions between India and Pakistan, including cross-border air strikes.",Citizens of India and Pakistan,"Jaish-e-Mohammed, Governments of India and Pakistan",Negative,
104,Minar-e-Pakistan Construction,23,March,1960,Pakistan,Monument,Lahore,Symbolizes freedom and the independence of Pakistan.,Pakistani citizens,Government of Pakistan,Positive,
105,Lahore Resolution (Pakistan Resolution),23,March,1940,Pakistan,Political Declaration,Lahore,A formal political statement that called for greater Muslim autonomy in British India.,Muslims in British India,All-India Muslim League,Positive,
